trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'e': 0.3623577544766736, 'a': 0.01}",25,7,6.0698047645165545,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
121,False,"{'e': 0.35301940121933034, 'a': 0.01}",25,16,-45.11722246160261,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
122,False,"{'e': 0.34364574631604705, 'a': 0.01}",25,0,-56.28615150015061,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
123,False,"{'e': 0.3342377271245026, 'a': 0.01}",20,11,4.464573644383691,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'e': 0.32479628443877623, 'a': 0.01}",35,0,-53.66842534709111,"{0: 30, 1: 0, 2: 3, 3: 1, 4: 1}",0
125,False,"{'e': 0.3153223623952687, 'a': 0.01}",25,19,12.179362500423892,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'e': 0.3058169083782893, 'a': 0.01}",20,0,-0.5541810336316253,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
127,False,"{'e': 0.2962808729253187, 'a': 0.01}",25,15,14.434928864257605,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'e': 0.28671520963195546, 'a': 0.01}",20,0,21.132471110637315,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
129,False,"{'e': 0.2771208750565576, 'a': 0.01}",35,0,-32.007192207044746,"{0: 29, 1: 4, 2: 1, 3: 0, 4: 1}",0
130,False,"{'e': 0.26749882862458735, 'a': 0.01}",25,13,-40.1167916840528,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
131,False,"{'e': 0.2578500325326696, 'a': 0.01}",25,19,9.973217096916349,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'e': 0.2481754516523729, 'a': 0.01}",20,0,-59.42017358135882,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
133,False,"{'e': 0.23847605343372313, 'a': 0.01}",20,13,11.325629447960905,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'e': 0.22875280780845939, 'a': 0.01}",20,11,-9.106078260211364,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'e': 0.2190066870930415, 'a': 0.01}",25,20,9.339804629229981,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'e': 0.20923866589141926, 'a': 0.01}",20,9,18.934602142795008,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'e': 0.19944972099757285, 'a': 0.01}",25,18,13.787721904249127,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'e': 0.18964083129783424, 'a': 0.01}",20,0,11.355023517956566,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
139,False,"{'e': 0.17981297767299934, 'a': 0.01}",30,20,-5.839858754161121,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'e': 0.16996714290024081, 'a': 0.01}",25,4,20.373054417130895,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'e': 0.16010431155483126, 'a': 0.01}",20,16,7.622600527725648,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'e': 0.15022546991168584, 'a': 0.01}",25,15,19.57135285592554,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'e': 0.1403316058467367, 'a': 0.01}",20,10,15.740651561577,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'e': 0.13042370873814554, 'a': 0.01}",20,0,31.101362165522765,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'e': 0.1205027693673666, 'a': 0.01}",20,12,16.31647883867207,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'e': 0.11056977982006957, 'a': 0.01}",20,3,18.74556112549942,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'e': 0.10062573338693172, 'a': 0.01}",20,0,28.13429213922048,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'e': 0.09067162446430967, 'a': 0.01}",20,2,-19.45259763197724,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
149,False,"{'e': 0.08070844845480062, 'a': 0.01}",20,8,13.182480283321787,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'e': 0.0707372016677029, 'a': 0.01}",20,0,32.135498109130424,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'e': 0.0607588812193859, 'a': 0.01}",20,6,14.222597798886099,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
